"","date","ARIMA_Four_for2_all.mean"
"1",2011-07-01,3549.8971023927
"2",2011-07-02,3727.37804414648
"3",2011-07-03,3803.20069401271
"4",2011-07-04,3694.4987297957
"5",2011-07-05,3639.31300958685
"6",2011-07-06,3673.30491272638
"7",2011-07-07,3642.2628185057
"8",2011-07-08,3660.39744299356
"9",2011-07-09,3829.41362036434
"10",2011-07-10,3905.29225795804
"11",2011-07-11,3785.64886604534
"12",2011-07-12,3724.00476867157
"13",2011-07-13,3752.09987907195
"14",2011-07-14,3714.39228192475
"15",2011-07-15,3726.42790599156
"16",2011-07-16,3891.85276723833
"17",2011-07-17,3962.04386621704
"18",2011-07-18,3833.94464638558
"19",2011-07-19,3764.84503656188
"20",2011-07-20,3786.50877621627
"21",2011-07-21,3741.75649058003
"22",2011-07-22,3747.14975732608
"23",2011-07-23,3906.45882832299
"24",2011-07-24,3969.7561905238
"25",2011-07-25,3834.49502475388
"26",2011-07-26,3758.61960159442
"27",2011-07-27,3773.47336457121
"28",2011-07-28,3722.21996296973
"29",2011-07-29,3720.96760651275
"30",2011-07-30,3872.32274483684
"31",2011-07-31,3928.18293227687
