"","date","ARIMA_Four_for3_all.mean"
"1",2011-07-01,3549.62910227619
"2",2011-07-02,3726.9524822754
"3",2011-07-03,3803.02509769556
"4",2011-07-04,3694.90342969373
"5",2011-07-05,3640.52893905516
"6",2011-07-06,3675.71458666282
"7",2011-07-07,3646.32259821027
"8",2011-07-08,3666.56028159812
"9",2011-07-09,3838.35884005472
"10",2011-07-10,3917.36706339203
"11",2011-07-11,3800.5884084678
"12",2011-07-12,3742.14412758934
"13",2011-07-13,3774.20722939907
"14",2011-07-14,3740.56184994871
"15",2011-07-15,3757.36015883862
"16",2011-07-16,3929.32049446694
"17",2011-07-17,4005.79019363091
"18",2011-07-18,3882.00046836552
"19",2011-07-19,3817.83002859005
"20",2011-07-20,3845.88986797383
"21",2011-07-21,3806.8364830893
"22",2011-07-22,3818.98701827498
"23",2011-07-23,3988.42638738144
"24",2011-07-24,4060.42753658516
"25",2011-07-25,3929.33318480489
"26",2011-07-26,3858.68828140603
"27",2011-07-27,3881.14414778451
"28",2011-07-28,3835.72058089494
"29",2011-07-29,3841.76501975371
"30",2011-07-30,4005.57003248814
"31",2011-07-31,4070.94463869052
