date,load
2011-07-01,3549.629102
2011-07-02,3726.952482
2011-07-03,3803.025098
2011-07-04,3694.90343
2011-07-05,3640.528939
2011-07-06,3675.714587
2011-07-07,3646.322598
2011-07-08,3666.560282
2011-07-09,3838.35884
2011-07-10,3917.367063
2011-07-11,3800.588409
2011-07-12,3742.144128
2011-07-13,3774.207229
2011-07-14,3740.56185
2011-07-15,3757.360159
2011-07-16,3929.320495
2011-07-17,4005.790194
2011-07-18,3882.000468
2011-07-19,3817.830029
2011-07-20,3845.889868
2011-07-21,3806.836483
2011-07-22,3818.987018
2011-07-23,3988.426388
2011-07-24,4060.427537
2011-07-25,3929.333185
2011-07-26,3858.688282
2011-07-27,3881.144148
2011-07-28,3835.720581
2011-07-29,3841.76502
2011-07-30,4005.570033
2011-07-31,4070.944639
