date,load
2011-07-01,3541.988611
2011-07-02,3709.730535
2011-07-03,3776.742914
2011-07-04,3660.910279
2011-07-05,3599.102706
2011-07-06,3626.242872
2011-07-07,3590.245041
2011-07-08,3603.774183
2011-07-09,3766.739712
2011-07-10,3839.332228
2011-07-11,3721.337661
2011-07-12,3661.945828
2011-07-13,3692.562733
2011-07-14,3660.385071
2011-07-15,3679.021621
2011-07-16,3851.153984
2011-07-17,3931.447403
2011-07-18,3816.56553
2011-07-19,3761.209746
2011-07-20,3797.704594
2011-07-21,3768.768185
2011-07-22,3791.032346
2011-07-23,3970.230899
2011-07-24,4053.2587
2011-07-25,3933.368438
2011-07-26,3873.159845
2011-07-27,3905.807227
2011-07-28,3869.489116
2011-07-29,3884.211154
2011-07-30,4057.874122
2011-07-31,4131.385525
