date,load
2011-07-01,3549.897102
2011-07-02,3727.378044
2011-07-03,3803.200694
2011-07-04,3694.49873
2011-07-05,3639.31301
2011-07-06,3673.304913
2011-07-07,3642.262818
2011-07-08,3660.397443
2011-07-09,3829.41362
2011-07-10,3905.292258
2011-07-11,3785.648866
2011-07-12,3724.004769
2011-07-13,3752.099879
2011-07-14,3714.392281
2011-07-15,3726.427906
2011-07-16,3891.852767
2011-07-17,3962.043866
2011-07-18,3833.944646
2011-07-19,3764.845036
2011-07-20,3786.508776
2011-07-21,3741.75649
2011-07-22,3747.149757
2011-07-23,3906.458828
2011-07-24,3969.75619
2011-07-25,3834.495024
2011-07-26,3758.619601
2011-07-27,3773.473364
2011-07-28,3722.219962
2011-07-29,3720.967606
2011-07-30,3872.322744
2011-07-31,3928.182932
